日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	5.41	0.63	0.0651	5.4751
2026/03/04	5.41	0.63	0.0651	5.4751
2026/03/05	5.41	0.63	0.0651	5.4751
2026/03/06	5.41	0.63	0.0651	5.4751
2026/03/07	5.41	0.63	0.0651	5.4751
2026/03/08	5.41	0.63	0.0651	5.4751
2026/03/09	5.41	0.63	0.0651	5.4751
2026/03/10	5.41	0.63	0.0651	5.4751
2026/03/11	5.41	0.63	0.0651	5.4751
2026/03/12	5.41	0.63	0.0651	5.4751
2026/03/13	5.41	0.63	0.0651	5.4751
2026/03/14	5.41	0.63	0.0651	5.4751
2026/03/15	5.41	0.63	0.0651	5.4751
2026/03/16	5.41	0.63	0.0651	5.4751
2026/03/17	5.41	0.63	0.0651	5.4751
2026/03/18	5.41	0.63	0.0651	5.4751
2026/03/19	5.41	0.63	0.0651	5.4751
2026/03/20	5.41	0.63	0.0651	5.4751
2026/03/21	5.41	0.63	0.0651	5.4751
2026/03/22	5.41	0.63	0.0651	5.4751
2026/03/23	5.41	0.63	0.0651	5.4751
2026/03/24	5.41	0.63	0.0651	5.4751
2026/03/25	5.41	0.63	0.0651	5.4751
2026/03/26	5.41	0.63	0.0651	5.4751
2026/03/27	5.41	0.63	0.0651	5.4751
2026/03/28	5.41	0.63	0.0651	5.4751
2026/03/29	5.41	0.63	0.0651	5.4751
2026/03/30	5.41	0.63	0.0651	5.4751
2026/03/31	5.41	0.63	0.0651	5.4751
2026/04/01	5.41	0.81	0.0651	5.4751
2026/04/02	5.41	0.81	0.0651	5.4751
2026/04/03	0.0	0.81	0.0651	0.0651
