日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	0	0.0	2.526	0.0	2.526	0	0.0	0.0	0.0	0.0	0.0	2.526	0.0	0.0	2.526	2.526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.526	2.526	0.0	0.0	0.0	0.0	0.0	2.526
2026/03/04	0	0.0	1.463	0.0	1.463	0	0.0	0.0	0.0	0.0	0.0	1.463	0.0	0.0	1.463	1.463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.463	1.463	0.0	0.0	0.0	0.0	0.0	1.463
2026/03/05	0	0.0	1.254	0.0	1.254	0	0.0	0.0	0.0	0.0	0.0	1.254	0.0	0.0	1.254	1.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.254	1.254	0.0	0.0	0.0	0.0	0.0	1.254
2026/03/06	0	0.0	1.09	0.0	1.09	0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	1.09	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.09	0.0	0.0	0.0	0.0	0.0	1.09
2026/03/07	0	0.0	0.959	0.0	0.959	0	0.0	0.0	0.0	0.0	0.0	0.959	0.0	0.0	0.959	0.959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.959	0.959	0.0	0.0	0.0	0.0	0.0	0.959
2026/03/08	0	0.0	0.866	0.0	0.866	0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.866	0.866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.866	0.0	0.0	0.0	0.0	0.0	0.866
2026/03/09	0	0.0	0.791	0.0	0.791	0	0.0	0.0	0.0	0.0	0.0	0.791	0.0	0.0	0.791	0.791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.791	0.0	0.0	0.0	0.0	0.0	0.791
2026/03/10	0	0.0	0.738	0.0	0.738	0	0.0	0.0	0.0	0.0	0.0	0.738	0.0	0.0	0.738	0.738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.738	0.738	0.0	0.0	0.0	0.0	0.0	0.738
2026/03/11	0	0.0	0.778	0.0	0.778	0	0.0	0.0	0.0	0.0	0.0	0.778	0.0	0.0	0.778	0.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.778	0.778	0.0	0.0	0.0	0.0	0.0	0.778
2026/03/12	0	0.0	0.823	0.0	0.823	0	0.0	0.0	0.0	0.0	0.0	0.823	0.0	0.0	0.823	0.823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.823	0.823	0.0	0.0	0.0	0.0	0.0	0.823
2026/03/13	0	0.0	0.83	0.0	0.83	0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.83	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.83	0.0	0.0	0.0	0.0	0.0	0.83
2026/03/14	0	0.0	0.816	0.0	0.816	0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.816	0.816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.816	0.0	0.0	0.0	0.0	0.0	0.816
2026/03/15	0	0.0	0.827	0.0	0.827	0	0.0	0.0	0.0	0.0	0.0	0.827	0.0	0.0	0.827	0.827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.827	0.827	0.0	0.0	0.0	0.0	0.0	0.827
2026/03/16	0	0.0	0.809	0.0	0.809	0	0.0	0.0	0.0	0.0	0.0	0.809	0.0	0.0	0.809	0.809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.809	0.809	0.0	0.0	0.0	0.0	0.0	0.809
2026/03/17	0	0.0	0.775	0.0	0.775	0	0.0	0.0	0.0	0.0	0.0	0.775	0.0	0.0	0.775	0.775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775	0.775	0.0	0.0	0.0	0.0	0.0	0.775
2026/03/18	0	0.0	0.731	0.0	0.731	0	0.0	0.0	0.0	0.0	0.0	0.731	0.0	0.0	0.731	0.731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.731	0.731	0.0	0.0	0.0	0.0	0.0	0.731
2026/03/19	0	0.0	0.684	0.0	0.684	0	0.0	0.0	0.0	0.0	0.0	0.684	0.0	0.0	0.684	0.684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.684	0.684	0.0	0.0	0.0	0.0	0.0	0.684
2026/03/20	0	0.0	1.159	0.0	1.159	0	0.0	0.0	0.0	0.0	0.0	1.159	0.0	0.0	1.159	1.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.159	1.159	0.0	0.0	0.0	0.0	0.0	1.159
